tarih,puan,yorum
2021-06-02,4,"Dürüstçe tecrübemi yazacağım, başta belirteyim bozulursa yine alırım çünkü pratik ama bazı durumlar var onları yazsam alacak arkadaşlar için faydalı olacaktır. (Bir ayda ortalama 20-25 gün kullanıyoruz)
 Öncelikle yumurtalar büyükse yani birbirine değ-me-yecek şekilde dizmelisiniz, aksi durumda ara sıra yumurtaları çatlatıyor.

Bunun haricinde düğmesi ufak ve şartel şeklinde olduğu için alet ısındığında kendinizi yakmamak için dikkatli olmalısınız çünkü alet ufak ve hafif  açma kapama yeri 1 ve 0 yazan bir şartel, 0 basmak istediğinizde alet tezgahta kayıyor böylece istemsizce eliniz ile tutup sonra 0 basmak isitiyorsunuz, başlarda birkaç kez yandım sonradan nasıl kapatacağınız hakkında bilgi sahibi oluyorsunuz. Diğer bir kusur olarak, ölçü kabına doğruluk payına %80 civarı güvenin, çünkü günümüzde yumurtalarda farklı boylarda ve yumurtanın yine pişme süresini belirleyen ölçü kabınıda ne kadar su koymanız gerektiğini deneyimleyerek öğreneceksiniz çünkü buzdolabında mı dışarıda mı saklıyorsunuz yumurtaları yine bunlarda kıvamını etkiliyor.

Aletin olsa daha iyi olur diyebileceğim özellikleri:
Daha rahat açılıp kapatılan bir düğme,
Veya tezgahta kaymaması için altına keçe benzeri birşey,
Hiç yoktan kapatırken bari aletin başka bir kısmına destek konulsaydı orayı bir elimizle tutardın diğer elimizle de şarteli kapatırdık.
Tutmak için bir yer var orasıda aşırı ısınıyor aman dikkat edin yanmayın.

Alet üretildiği amaca hizmet ettiği için yani işlevini yerine getirdiği için 3.5 yıldız veriyorum böyle bir skala puanı olmadığından 4 yıldızı vermiş bulundum.

Ek olarak: Yumurtaları üstten yada herhangi bir yerden bence delme iğnesi ile delmeyin genelde yumurta pişerken dışarı taşıyor, yinede siz bilirsiniz zamanla tecrübe ede ede öğreneceksiniz zaten.
Alacaklara hayırlı olsun."
2020-01-05,5,"Rafadan ayarı süper, alarm çaldığında hemen çıkartın yoksa kayısı kıvamına geliyor, geniş tarafından delin, yoksa çatlıyor, plastik olması daha iyi lekeler olmuyor. Tavsiye ediyorum."
2017-12-07,4,"Alalı 1 ay oluyor 7-8 kez kullandım ve ürün fiyatına göre başarılı. 7 yumurtayı aynı anda haşlayabilmesi de geniş aileler için kolaylık sağlıyor. Tek bir sıkıntısı yumurtalar istenilen kıvamda haşlanıp alarm çalmaya başladıktan sonra düğmeyi kapatamıyorsunuz çünkü düğme ısıtma tavasının üstünde yer alıyor ve düğmeye basmak için ısıtma tavasını desteklemeniz gerekiyor (dikkat edin kendinizi yakabilirsiniz). Bu yüzden sesi kesmenin en iyi yolu fişi prizden çekmek :) Yumurta delme iğnesiyle delemeyenler için de biraz sabırlı olun diyorum iğneyi yumurtaya bastırarak sağa sola döndürünce yumurta çabucak deliniyor. Ek olarak kullanma klavuzundaki talimatlar çok eksik, videolardan izleyip anlamak zorunda kaldım."
2022-05-06,5,Alalı neredeyse 1 ay oluyor. Yorumlarda ikinci gün çalışmadığını söyleyenler olduğu için almakta tereddüt etmiştim ama sapasağlam bir sıkıntı yaşamadık. Yumurtaları çok güzel haşlıyor kıvamı nasil istiyorsanız tam olarak öyle çıkartıyor keyifle yumurta yiyoruz. Yorumlarda bazı arkadaşlar içinin tam olmadığını falan yazmış su ölçüsünü güzel ayarlasınlar sorun kalmayacaktır. Yumurta piştiğinde sesli uyarı veriyor. Çok yüksek sesli bağırıyor 😂 ama unutma ya da ya da başka odadan duymama gibi bir sorunum olmuyor çünkü gerçekten yüksek sesi var. Bir tane daha sipariş ettim onuda hediye edeceğim. Tavsiyemdir alın benden tam puan aldı.
2020-11-19,5,İlk defa böyle bir ürün satın aldım şuana kadar çok memnunum aşırı pratik küçük ve yer kaplamiyor hazır olunca ses ile uyarı veriyor 7 adet yumurta alıyor.yumurtayi bunla yapmak çok keyifli ve pratik.tam kıvamında pisiyor.su ana kadar memnunum.Kargolama ve paketleme çok iyidi sağlam geldi hepsijet ile.
2021-05-13,3,"Eksi yönleri,paketi açınca su ölçü kabının altindaki igne yamuk çıktı ve sabit değil, dönüyor.yumurtalari delmede sorun, başka evdeki iğnelerle deldim. Haşlama için su katilan metal parlak yerde ise pas lekeleri vardı. Bir daha alırsam bu satıcı ve ürünü tercih etmem. 
Yumurta haşlamasında kayısı kıvamı düzgün olmuyor katı kıvam şeklinde oldu. Rafadan kısmını henüz denemedim. 
Alacak olanlar buna dikkat etmeli"
2021-05-31,4,"Ürün çok kullanışlı,pratik ve her evde bulunması gereken bir ürün.Arkadaşım için aynı üründen 3.kez aldım.Ben yaklaşık 5-6 yıl önce almıştım.Aldığımda ürünün kapağı şeffaf ve plastik değil, mat kromdan imal edilmiş çok daha şık bir şekilde idi.Ancak vaziyet firma ticari kaygılar nedeniyle ucuzlatma gereği duymuş sanırım.Ama hiçte iyi etmemiş.Buradan kendilerine memnuniyetsizliğimi belirtme gereği duyuyorum.Plastiğin bir süre sonra yere düşüp yada kendiliğinden aşırı sıcağa maruz kalmasından dolayı kırılma riski var.Bir yıldızıda sırf bunun için kırdım.Ama piyasadaki benzerlerine göre ucuz ve daha pratik yapılmış.Ürün içerisinden çıkan ölçü bardağı üzerinde rafadan-orta-çok pişmiş seçeneklerine göre koyacağınız her yumurta sayısında çizgiler var.Biraz kullandıkça pratik kazanıyorsunuz.Parmağınızla koyacağınız yumurta sayısına ve pişme süresine göre parmağınızla çizgiyi seçip hemen o seviyeye kadar su koyup cihazın içerisindeki hazneye suyu doldurduktan sonra,yine ölçü bardağı arkasında bulunan çok sivri çivi kısmıyla koyacağınız yumurtaların geniş ve büyük tarafından yavaşça delip cihaz içerisine yumurtaları koyup kapağı kapatıp çalıştırıyorsunuz.Cihaz içindeki su buharlaşıp kapak üzerindeki delikten çıktıktan sonra cihaz çok tiz bir ses çıkartıp yumurtaların piştiğini size haber veriyor.Sizde cihaz düğmesini kapatıp işlemi tamamlıyor sunuz.Alanlara hayırlı olsun."
2022-02-05,5,Ürün reklamda görüldüğü gibi değil!kutusunun üzerinde de resimde tutma yerleri var ama paketten çıkan üründe yok!daha önce de kullandığın bir ürün daha oncekinde vardı!bence ayıplı mal oluyor!aynı üründen kardeşime de hediye olarak sipariş verdim! inşallah oniun tutma yerleri eksik çıkmaz!
2022-03-09,4,"Daha önce kullandığım pisiricinin tutma sapı vardı bunda yok ,yumurtalar pisince sapindan tutup tezgaha koyup sogutuyordum bunda sap olmadığı için sıkıntı yaşıyorum iki elimle alıp ekim yanmadan tezgaha koymaya çalışıyorum keşke sapı olsaydı önceki modelinde tutma sapi vardı ..küçük bir ayrıntı ama insani aldığına pişman ediyor..ayrıca cam kapaktaki tutma sapı çok küçük alırken ucu ucuna tutabiliyorum..malzemeden azaltmak size kar getirmez.."
2022-01-28,5,Ürünü daha önce kullanıyordum. Bir tane daha ihtiyaç oldu. Başka bir ünlü sitede markette indirime girmişti HB de yoktu o sırada. Gelen ürünü o zaman denedim ve plastik aksamı eridi ısıtıcı metale yapıştı. İade ettim servise göndereceklermiş. Ayrıca kenarında üst üste oturan yuvarlak kısımları da yoktu. Yumurtaları almak zor oluyordu. HB den gelen ürünün ısıtıcı kısmı oynuyordu iade edecektim ama çevirince yerine oturdu. Bu ürünü de denedim herhangi bir sorun çıkmadı. Yumurtaların piştiğini kuvvetli sesi ile haber veriyor. Ürüne Çeşme suyu koymuyorum buranın suları çok kireçli. İşim bitince sıcakken beyaz sirke döküp hemen siliyorum. Daha önce kullandığım ürün hep temiz kaldı. Tavsiye ederim. Yıllara bağlı olarak şeffaf kapakta çatlamalar oldu. Ama üründen genelde memnunum.
2022-03-06,5,Ürün gayet güzel eşime milshake yaptım çok beğendi pürüzsüz çekiyor sesi çok fazla evet ama yine de iyi . Yorumlarda sadece kutusu ile gönderdiler yazınca endişe etmiştim ama bana böyle ek bir kargo kutusu ile geldim Kargo hızlıydı beğendim bu fiyata diğerlerine bin basar çabuk bozulmadığı müddetçe gayet güzel
2022-03-26,4,Bebegime smotie yapabilmek için aldım evet yorumlarda ki gibi gerçekten güçlü pratik ve küçük. Ama bebeğim sevmedi yaptığım şeyleri. Ben yulaf yoğurt ve muz karışımı yaptım pürüzsüz bir kıvam elde ettim. Yani karşılık meyve ve sebze de geçirdim onlar da pürüzsüz oluyo. Posalı oluyo tabi. Yani katı meyve sıkacağı yerini almaz. Bu arada kargo sorunsuz ulaştırdı.
2022-05-09,4,"çalışmasında sıkıntı yok ama ürün teşhir ürünü gibi, jelatini yok ve çizikler var"
2022-04-12,5,"Ürün gayet geçerli 👍🏻 Fotoğrafını paylaştığım ürünün içerisinde, kabuklarıyla, elma, armut, portakal(dış kabuğu hariç) ve muz var. Ekstra bir su eklemedim ve gayet ağızlıktan içilir bir püre yaptı. Fiyat performans ürünü 👍🏻"
2022-04-09,5,"Kullanmaya başladım gayet iyi,yorumlarda sesli çalışıyor deniliyordu evet biraz ses var ama fiyat olarak en uygun hepsi burada tabiki teşekkürler"
2022-02-09,5,"Ürünün kullanımı pratik, kesinlikle tavsiye ederim, uygun şartlarda kullanılırsa pişman olmayacağınız bir ürün."
2022-03-02,5,24 saat dolmadan ürün elime ulaştı ve sapasağlam ayrıca 5 saniye içinde pürüzsüz bir içecek yaptm satıcı da ürün de asla yanıltmadı teşekkürler
2022-04-12,5,"Ürün iki kutu ile güzel paketlenmişti. Sağlam, hatta çiziksiz şekilde ulaştı. Evet biraz sesli çalışıyor (daha önce blender kullanmadım karşılaştırma yapamiyorum) ama bu fiyata, bu watta (diğer markalara göre yüksek), bu hıza ve kesme gücüne göre çok iyi bir ürün. Smoothiemi yapayım ama çokta param gitmesin ve kaliteli cihaz olsun diyorsanız. Bu sizin aradığınız ürün. Düşünmeden alın derim. Ben çok düşünmüştüm 😄 Üreticiye, satıcıya, kargoya ayrı ayrı teşekkür ederim 🙏"
2022-03-14,5,Ürün gayet güzel ve başarılı.Saticiya teşekkürler
2021-12-17,5,Ürünü çok beğendik herşeyi istediğiniz kıvamda çekiyor ama ekstra bir suluk daha eklenmeli çekicisi ve suluğu aynı tek bir adet ben iki adet olduğunu düşünerek almıştım ama genel olarak üründen memnun kaldım kullanışlı ve güzel paketlenmişti.
2020-02-13,5,"Ürünü uzunca bir süredir kullanıyorum. Demir döküm olduğu için tercih ettim. Eskiden kullandığım makineyi uzunca bir süre kullandık (9 sene) ama dışarıda yediğimiz tostların tadını hiçbir zaman yakalayamadık. Bu tost makinesi ile lezzet, büyük ekmek kullanma ve çizilme sorununu halletmiş olduk. Dökümix gerçekten ağır. Yerinin sabit olması lazım. Günü birlik tost yapıp kaldırmayı düşünmeyin zahmetli olur. Kutudan fırça çıkmadı. Mahalledeki marketten 5 TL&#039;ye tel fırça aldım, kutudan çıkan da benim aldığımın aynısıymış zaten. 2-3 kullanmadan sonra tel fırça ile fırçalayıp, kalan yağları ve kırıntıları bez ile siliyorum. Peçete veya kağıt havlu kullanmayın. Çünkü bastırarak sildiğiniz zaman peçete parçalanıyor ve mink parçalar halinde üstünde kalıyor. Bez parçası en iyisi. Alt ve üst parçalar iyi ısınıyor. Ben 3. derecede açıp tost yapıyorum. Gayet yeterli oluyor. İş bitince fişi çekiyorum ayarı sabit kalıyor. 3-4 defa kullandıktan sonra tablalar yağlı kalıyor zaten. Temizleseniz de üstünde yağlı bir yüzey kaldığını görürsünüz. Kesinlikle ıslak bez ile ya da su ile temizlemeyin. Sadece bez ile silin yeter. Büyük bir somunu içine rahatça alıyor. Ekmeğin sadece uçlarının 2-3cm&#039;lik bölümü dışarıda kalıyor. O da zaten sorun değil. Eğer sucuk pişirecekseniz kapağı kapattıktan sonra 5-6 saniye bekleyip kapağı açın ve yapışan varsa  ters çevirin. Bu şekilde yaparak hem kurumasını hem de yapışmasını engellersiniz. Tablalar ön tarafa hafif eğimli olduğu için ön tarafın tam ortasındaki küçük açıklıktan fazla yağlar damlıyor. Zeminden tam 7cm yüksek olduğundan (ölçtüm) küçük bir tabak, fincan, çay bardağı altlığı, kase koyabilirsiniz. Hafif çıkıntılı kanalları ve kenarları sayesinde kenarlarından kesinlikle yağ damlamıyor. Ekmek koyulan tabla tam 30X23cm ölçülerinde. Üst tablanın ağırlığı ile çok az güç kullanıyorsunuz. Eğer yağlı bir tost yapıyorsanız ve kapağı bir süre açık bıraktıysanız üst tabladan arkaya yağ damlıyor. Kullanmadan önce  3 yaprak kağıt havluyu arkaya seriyorum"
2019-04-25,5,"Arkadaşlar tost makinesi almak istiyorsanız kesinlikle dökümix. sadece tost değil biber ve patlıcan köz tam 10dk da hazır. köfte, et, tavuk yapabilirsiniz. Termostatını ters döndürmemeye çok dikkat edin. elektirik kablonuzu takarken makineye deymemesine dikkat edin. Ve ürün çok çabuk ısınıyor. temas ederken dikkatli olun. Temizliğe gelirsek. kutuyu ilk açtığınızda nemli karbonatlı bir bez ile tablalarını muhakkak silin. bezinizden siyah su beyaza dönene kadar silin. Bu fabrikasyon demir isini almanıza yarayacaktır. Sakın deterjan ile yıkamayın..! Demir gözenekli bir madde olduğu için deterjan gözeneklerde kalacaktır. Kullanımdan sonra zeytin yağı ile yağlamanız demir döküm tablaların üzerinde bir katman yaratmanızı sağlayacaktır. Aldığıma çok memnunum dediklerimi yaparsanız evladiyelik kullanırsınız. Umarım yardımcı olmuşumdur. "
2020-01-07,5,Gerçekten de çok iyi kullanmasını bilen alsın derim bir yılı aşkın oldu alalı halen ilk günkü gibi temiz ve kullanışlı çok güzel tost kestane balık köfte yaptım yaglı kagıt kullanarak gerçekten tavsiye ederim almanızı komşuma da aldım benim kadar fazla kullanmadı ama memnun arkadaşım da almış maalesef makimayı mundar etmiş temizleme konusunda düzgün temizleme yapılmadığı sürece tost yapışıyor çocuklarım tost yapar bırakır ben temizlerim ve yaglarım hiç sorun olmadı hepsi buradaya ve satıcıya teşekkür ederim yerli malı yurdun malı herkes kullanmalı karaca marka granit aldım geri iade ettim bunu aldım memnun kaldık makına ılık sıcaklıkta iken az nemli süngerle temizleyin ve yalayıp bırakın. Görmeniz için resim de yükledim 😊
2020-09-28,5,Ürünü cuma günü sipariş ettim pazartesi günü saat 14:00 de elimdeydi.. Öncelikle kargolanması gayet güzeldi. Hem kutunun içine hemde kutunun dışına beyaz köpüklerle destek yapmışlar kutunun üzerine de dikkat ⚠ kırılabilir etiketi yapıştırmışlar. Teşekkürler sürat kargo.. Gelelim ürünün performancesine görselde ekmekler mevcut aceleden tam pişirmedim ama bana göre muazzam bir tost lezzeti var.. Hani dışarıda dünya para verip tost yiyoruz ya işte o tost artık evde.. Granit 🛐 teflon aliminyum ile uğraşmayın.. Tost döküm plaka da yenir.. Gönül Rahatlığı İle alabilirsiniz.. İlerleyen dönemlerde başka deneyimler olacak sizlerle paylaşacağım.. Kalın sağlıcakla 35½KSK
2019-04-23,5,"Ürün Malatya ya siparişin ertesi günü  geldi kargo çok hızlıydı. Satıcı firma bizden eve ürünü çok güzel paketlemişti her tarafı strafor köpük ile sarılmıştı. Ürünün plakaları dökme demir epey ağır. sağlığa zararlı teflon v.s kaplama yok döküm tava kullananlar bilir. Satıcı tel fırça hediye etmiş teşekkür ederim. gönül rahatlığı ile alabilirsiniz.
Artıları: 
1- sağlığa zararlı hiçbir kaplama yok
2-erken ısınıp geç soğuyor
3-kulpu ve gövdesi cidden kaliteli
4- kaliteli geçinen birçok firmanın makinesinde üst gövde metal alt plastik bu üründe ayaklar hariç her yeri metal 
4- plakalar ağır tost yaparken kol gücü ile bastırmaya gerek yok 
Eksileri:
1- üst plaka 180 derece açılmıyor yani ızgara yapmak isteyenler sadece alt plakayı kullanabilir.
2- sıcakken yer değişikliği yapamazsınız çünkü metal gövde plakalar ile birlikte ciddi ısınıyor tutamazsınız

"
2020-09-24,5,Bu harika ürünü bi arkadaşımın tavsiyesi üzerine aldım ve iyi ki almışım.Isınması döküm olmasına rağmen çok hızlı ve bir o kadar da geç soğuyor. Tostların lezzetine gelecek olursak bugüne kadar kullandığımız makineler tost yapmıyormuş. Temizliği evet biraz zahmeti ama ben tam soğumadan kağıt havluyu biraz nemlendirerek arasına bırakıyorum ve siliyorum bu kadar. Paslanmaya karşı plakaları yağlı bırakmanız gerekiyor o kadar. Kesinlikle tavsiye edilir.
2020-03-18,4,Tel fırça ile gelmesi güzel. Çalışmasında sorun yok. Ama yüzeyinde delikler var. Dökümü düzgün yapılmamış. Kullanımı şimdilik etkilemeye de canımı sıktı.
2021-12-15,5,"Çok sağlam paketlenmiş ve normal sürede teslim aldık. Bu ürüne söyleyecek bir şey yok.2500 den fazla yorum almış tebrik ederim. Mutfakta fazla yer kaplamdı boyutları ideal. Dört tost rahatlıkla sığıyor. Kablo boyu bize yeterli geldi, ağırlığından ötürü tost yaparken bastırmaya gerek olmuyor.  Bir çok yerde videoları ve açıklamaları var. Yağlı bırakılması, ömürlük olduğu ve kaplamalı ürünlerden daha sağlıklı olduğu kesin. Tost için aldık ama dahası çıktı açıkçası, tost makinasında lahmacun bile yapan var. Temizliği düşünüldüğü kadar zor değil. Ürünün videolarından birini uyguladık ve çok kolay temizledik. Izgara olarak kullanmak isterseniz tam ısınmadan etleri koymayın. ÜRünle ilgi değilde üreticisi veya satıcısına söylemek iserim. Sanki bu ürün ihraç fazlası ürünmüş gibi satılıyor. Bana gelen makinada döküm hataları vardı ve tablaları kısmen yağlıydı. Satıcıyla görüştüğümde değişim yapamayacağını iade alabileceğini söyledi. O aradada fiyatı artmış. Anladığım kadarıyla bilip bilmeden yada benim gibi fiyatından ötürü bir çok kişi döküm hatasını normal karşılamış. Tasarım ve özelliklerinden dolayı üreticisini tebrik ederim. Teşekkürler hepsiburada.com hizmetinden dolayı sanada 5 yıldız. Bu yorumlar çok faydalı. Her alan bir yorum yapmalı. Saygılarımla."
2022-04-08,5,"Bu üründen 2 tane aldım. İlkini kullandım ve muhteşem tost ve hamburger yapınca tekrar aldım. Tek eksik yanı temizliği. Sabit tabla olduğu için temizlerken etrafa çok kızarmış kaşar ve ekmek sıçroyor. Tavsiyem bir karton parçası ile önüne siper ve kir haznesi yapın. Umarım firma buna bir çare ayarlar. Tavsiyem 4 veya 5 derecesinde kullanın. Fazlasında hemen kızartıyor ve sucuk pişmemiş oluyor. Ama bu fiyata bu ürün bedava. Daha pahalı olup aluminyum ve zamanla aşınıp sağlığa zehir saçanlardan yüz kat iyi , ve lezzetli"
2020-10-25,5,"Fiyat / Performans oranı üst düzeyde bi Tost Makinası.
Döküm olduğu için tercih ettim. üst kapak ağır olmayınca tosta bastırmak zor oluyor. kendi ağırlığı ve orta basma kolu yeterli oluyor. temizliği granitlere göre daha zor, ama granitler de hafif. ikisi bi arada olmuyor yani. ya temizlikten ya çıtır lezzetten taviz vereceksiniz. ilk çalışmada balkona alıp silikon fırça aracılığıyla sıvı yağla yağladım, boş 15 20 dk çalıştırdım, dumanı çıktı. sonrasında normal ekmekle tost yaptım gayet lezzetli oldu, dışı çıtır içi yumuşak, kurutmadan güzel yaptı. plakalara kaşar taşınca yapışıyor, tel fırça ile temizledim siyah kaplama var sanırım biraz grileşti bazı yerleri, çizmemek için sonrasında temizlik için başka bi alternatif bulmayı düşünüyorum. bizdeneve satıcısından aldım, paketleme iyiydi, garanti belgesi de çıktı. tavsiye edebileceğim bir tost makinesi, bu fiyata bedava diyebilirim."
2022-03-15,5,"Ürün  4 pozisyonlu 4 .pozisyonda turboya basarsanız biraz daha hızlanıyor.Çalıştırdım gayet güzel çalışıyor,çırpıcıda 10 dk çalışıyor,ısınmaması için  5dk beklemek gerekiyor.Güç 425 what, üstelik yerli üretim , çok para vermeye gerek yok,kaliteli bir ürün.Teşekkürler firmaya."
2022-05-09,5,Ürün fiyatına göre çok iyi özellikte kullanışlı firmaya özenli paketleme sinden dolayı teşekkür ederim
2022-04-23,4,Kolinin ağzı açık geldi. Ürün çalışıyor. Fakat mikser uçlarının renkleri farklı. Birisi beyaz diğeri gri.
2021-12-04,4,güzel çırpıyor performansını beğendim. fiyatına göre iyi
2022-04-22,5,"Görüntüsü estetik, güç artırması ve turbo tuşu var. Tam fiyat performans ürünü. Set almak istemediğim için tercih ettim. Tek sorunu biraz ağır."
2022-05-12,5,KULLANMADIM ÇEYİZ İÇİN ALDIM YERLİ ÜRÜN TERCİH SEBEBİM OLDU FİYAT P.İYİ .UMARIM SESSİZ KADEMELERİ İYİ VE UUZN ÖMÜRLÜ OLUR .TEŞEKKÜRLER HEPSİ BURADA VE KOÇ GRUBU
2021-12-04,5,Bi kere ürün harika tasarlanmış. Estetik bir görüntüsü var. Bu tarz ürünlerin genel olarak sesi rahatsız edicidir. Bu ürünü beğendim. Sesi rahatsız edici değil. Performans olarak beklentinizi karşılar. Küçük bir yapıda olduğu için çekmecenizde rahatlıkla bir yer bulursunuz.Tavsiye ederim. Ben çok beğendiğim. Teşekkürler hepsi burada.
2022-04-29,5,"Güçlü ve kullanışlı bir ürün devir hız ayar geçişleri güzel ,sağlam kalite kendini hissettiriyor kısaca işini yapıyor"
2022-03-21,5,Üŕun çok kaliteli yeni aldm 1 kere denedm gayet güzel ayrica zaten ürunu elime alnca kaliteli oldugu cok belli indirmdyken aldm.satıcıda çok güzl paketlemiş.
2022-04-22,5,Ürün görselde görüldüğü gibi güzel ve kullanışlı hediye olarak aldım çok beğenildi.
2021-03-19,5,"Hem közde hem sütlü kahve yaptık ürün gayet başarılı, bol köpüklü ve leziz kahveler yapıyor.Sütlü kahve sonrası dibinde tortu kalması çok normal çünkü normal cezvede yapınca da sütün tortusu zaten kalır.Kutudan çıkan fırça ile temizlemesi çok pratik, almak isteyenlere tavsiye ederim.Eklediğim fotoğraf sütlü kahvedir."
2021-04-14,4,"Paketlenmesi iyiydi ve ürün zarar görmemişti. Kendi kutusunun dışında bir kutuya daha konulmuş ve etrafı desteklenmişti. Türk kahvesi 3 fincan birden pişirdik ve tüm fincanlarda aynı oranda köpük vardı. Yanık tadı vs olmadı lezzetliydi.
Sütlü pişirimde ise bir sıkıntı taşma vs olmadı. Cezvenin dibinde süt yanığı var gibiydi ama temizlenmesi çok kolay oldu. Bu konuda fırçası iyi düşünmüş. Süt pişiriminden sonraki halinive temizlenmiş halinin resminide ekledim."
2021-02-20,5,öncelikle benim gibi yorumlara bakıp kararsız kalanlar düşünmeden alın ürün elime dün ulaştı hemen közde kahve özelliğini denedik tek kelimeyle bol köpüklü ve lezzetli sütlü özelliğine gelirsek çoğu yorum dibi tutması arkadaşlar sütlü kahveyi nerede yaparsanız yapın dibi tutar zaten. sütlü kahveyi yaptıktan sonra biraz kabın içinde su bekletirseniz o dibi kabarıyor ve kolayca fırçayla çıkıyor .bu fiyata hem sütlü hem közde bence mükemmel..Kargo Özenle paketlenmişti. Teşekkürler...
2021-11-11,5,"Öncelikle belirtmek isterim ki, bir ürün almadan önce detaylıca araştırma yapan birisiyimdir. Karacanın  bu modelini de Türk kahvesi yanında sütlü içecek de yapıyo olması sebebiyle uzun süredir takip ediyordum. Ürün ile ilgili epey yorum da okudum, bazı yorumlar beni bir miktar düşündürse de, hem indirime girmiş olması hem de satıcının hepsiburada olması sebebiyle kasım indirimlerinde aldım. Ve iyi ki de almışım. Hem sütlü kahve hem de Türk kahvesini denedim, ılık ve köpüksüz kahve yapıyor diyenlerin aksine çok çok memnun kaldım. Fotoğraflar da da göründüğü gibi bol köpüklü, ısısı gayet güzel ve lezzetli kahve yapıyor. Verilen ölçü kaşığı ile yaptığınız sürece de sorun çıkacağını düşünmüyorum. Sütlü ürün yaparken dibinde bir miktar tortu illa ki kalıyor sütün yapısı gereği, ama yanında gönderilen  fırça ile hemen temizleniyor, ben zorluk yaşamadım. Kargolama süreci de çok başarılıydı, siparişi verdikten 2 gün sonra, çok sağlam bi şekilde elime ulaştı… Velhasıl, ben çok memnunum ve almayı düşünenlere de tavsiye ederim. 👍🌟"
