tarih,puan,yorum
2022-04-15,5,Daha bugün elime ulaştı heyecanla beklediğim kitap ❤️
2022-04-24,5,İlber hoca yazmış yine hepinize tavsiye ederim çok güzel bir kitap
2022-03-03,5,"Kitap sorunsuz, kısa sürede elime ulaştı. Kitabı zaten anlatmaya gerek yok. İlber hocamın her kitabı şahanedir."
2022-03-10,5,Ürün güzel ama biri söylesin imza neresinde ben neden göremiyorum ve neden göremediğim o imza için ekstra ücret ödedim biri bana bunu açıklasın. Hayır madem imza yok ben o fark a bir kitap daha alırdım kardeşim
2022-05-10,5,Bir gun önce sipariş vermiştim zaten daha önce de  ilber ortayli eserini okumuştum bu harika kitabı da kaçırmadan aldm bir gun sonra geldi hemen teşekkürler
2022-03-17,4,"İlber hoca&#039;yı bilen bilir, okuyan kesim bellidir zaten. Yalnız hepsiburada kitapları incecik bir kargo poşeti ile gönderiyor, taşıma esnasında deforme oluyor katlanıyor vs. Müşteri memnuniyeti adına ince ama önemli bir nokta. Dikkat edilirse daha iyi olur, Teşekkürler."
2022-03-07,5,Sağlam geldi teşekkürler
2022-03-22,5,Teşekkür ederim hızlı kargo için
2022-03-09,5,Imzalı sipariş verdim. Imzasiz geldi.
2021-07-17,5,Çok güzel
2022-04-30,5,0-2 yaş için güzel bir kaynak. Nisa hanım kendi bebeğiyle yaptığı etkinlikleri fotoğraflayıp bize sunmuş. Elimizin altında olması iyi olur.
2021-08-28,4,Sorunsuz  elime  ulaştı  fakat  paketleme  de  bir  kutu  veya  kitabı  koruyacak  kap  kullanılabilirdi.
2021-08-12,5,Alınmalı güzel kitap
2021-12-21,4,Gayet başarılı bir şekilde elime ulaştı ama daha deneyimlemedik
2021-08-27,3,"daha büyük  bi  beklenti  ile  almıştım,  idare  eder  diyelim"
2022-05-08,5,Cok güzel kitap tavsiye ederim
2022-05-05,4,Henüz okumadım. Okuduktan sonra inşallah beni yoran herşeyi bırakmayı başarabilirim. Paketleme zayıf. Teşekkürler.
2022-05-08,5,Keyifle okudum herkese tavsiye ederim.
2022-04-29,5,"Kitabı çok beğendim, hayatımızda fark edemediğimiz manipülasyonları çok güzel vurguluyor yani ve işten istifa etme kararı aldım. Bu benim için önemli bir parçaydı umarım siz de kendinizden bir parça bulursunuz"
2022-04-29,5,Kargo hızlı geldi. Paketle orta dereceliydi kitap kenarından azda olsa hasar almıştı. İçerik olarak müthiş psikolojiye yakışır şekilde müthiş.
2022-05-04,5,Kitabı okuyorum ve harika bir kitap herkese tavsiye ederim teslimata zaten diyecek bişi yok en güzel uygulama olduğu için sadece hepsi buradan kullanıyorum
2022-05-08,5,"2günde bitirdim, genel olarak bir çiftin bunaltıcı darlayan ilişkisini anlatsa da altında yatan psikolojiyi açıklaması güzel ve sade bir dil kullanılmış, yormadan bitiyor"
2022-05-02,5,Teşekkürler Hepsiburada sorunsuz şekilde elime ulaştı  herkesin okuması gereken bir kitap
2022-05-04,5,Kalitenin bu kadar ucuz olması hem sevindirdi hem şaşırttı. Düşünmeden alın
2022-05-09,5,Kitap muazzam kargoda sadece kitap vardı koruma yoktu ama kitapta çizik darbe dahi yoktu o yüzden her şey mükemmel
2022-05-04,5,Kitap elime sorunsuz ulaştı demek isterdim ama maalesef. Hepsiburadanın kitapları poşete atıp göndermesi yüzünden kitabın köşeleri hasarlı geldi. En nefret ettiğim şey. Onun dışında kitap çok güzel. Fantastik bir kurgu. Gördüğümüz rüyaları nasıl görüyor olabileceğimize dair harika bir kurgu oluşturulmuş. Her yaştan okuyucuya şiddetle tavsiye ederim.
2022-04-30,3,Güzel paketlenmesine göre kitabın kenarları yıpranmıştı.
2022-05-06,5,Burnumuzun ucunda ama görmediğimiz hayatları gözümüzün içini sokmuş mine söğüt .. güzeldi
2022-04-17,5,Mükemmel anlatım ve hızlı kargolama
2022-04-22,5,"Okuyunca değerlendiririm tekrar,gece 22.00 gibi sipariş verdim sabah 12 gibi elime ulaştı,teşekkürler hb"
2022-05-08,4,Anne ve babaların okuması gerek bir kitap. Anne olmuş olsaydım kitaba daha farklı bir yorum getirebilirdim yani bir annenin okuyabileceği şekilde anlam yükleyemem.
2022-04-17,5,Çocuklarımızın gercekten ne istediğini anlamak kendi egomonyamızı direten bir birey degil kendi yapamadıklarımızı yaşayamadığımız çocukluğumuzu onlara yasatan bir bireye dönüşmemizde yardimci okacak bir kitap gercekten canı gönülden teşekkür ediyorum  okumanızı tavsiye ediyorum.
2022-04-22,5,"Çok güzel bir kitap. Çocuklara kullandığımız basmakalıp cümleleri eleştiriyor. Biz söylerken ne düşünüyoruz, çocuk nasıl anlıyor? tavsiye ederim"
2022-04-13,5,ASINDA FARKINA VARDIĞIMIZ FAKAT HALA KULLANMAYA DEVAM EDTTİĞİMİZ OLUMSUZ DİLİN ÇOCUK GELİŞİMİNDE NASIL ETKİSİ OLDUĞUNU BİZE TEKRAR GÖSTERİYOR DEĞİŞEBİLECEĞİMİZ BİZE KODLANAN ÖĞRETİLEN DAVRANIŞLARI DEĞİŞTİREBİLECEĞİMİZE YARDIMCI BİR KİTAP TAVSİYE EDERİM.
2022-04-08,5,Henüz okumadım ama kargo hızlıydı gece sipariş verdim öğlen elimdeydi ve piyasadan çok uygun fiyata aldım teşekkürler Hepsiburada
2022-04-18,5,Ziya öğretmenim biz ebeveynler için çok güzel bir yol gösterici kaleme almış teşekkürler
2022-04-30,5,Urun oncesinde ezik gelmişti. Ama sagolsnlar degistirdiler.
2022-04-29,5,sorunsuz ve hızlı ulaştı elime. zıya selçuk çok güzel kaleme almış bakış acınızı değiştirecek çok güzel bir kitap
2022-04-21,5,"Ebeveynlik adına faydalı bir kitap, okurken not alınması gereken çok yer var."
2022-05-06,5,Oya hanım ne yazsa okunur .. buda muhteşem
2022-03-11,5,Okumaya yeni başldm ama kargolama olarak değerlendirirsek hemen kargoya verildi ve ertesi gün geldi paketinde de yırtılma falan yoktu kitapta hiç bir kıvrılma yok iyi bir şekilde  geldi
2022-04-12,5,Teşekkür ederim..
2022-02-25,5,"Şahane bir kitap, hayatıma katkısı inanılmaz. Kartlara bayıldım. Kitap çok kısa sürede elime ulaştı. 
Hepsi burada hizmet kalitesi için ayrıca  teşekkür ederim"
2022-04-25,4,Hızlı teslimat oldu bekledigimden çabuk geldi ürünün basın evi bandrolü mevcut ürün orjinal diye düşünüyorum içeriği çok güzel Bircan hanım oldukça faydalı bilgiler vermis en kısa zamanda denicem şifa olsun 🥰🙏🏻
2022-05-06,5,Bir hediye kitap. Sorunsuz ve kısa sürede elime ulaştı.  Teşekkürler satıcı..
2022-05-11,5,Kargo çok hızlıydı sipariş verdim aynı gün kargoya teslim edildi ertesi gün elime ulaştı kitap ayrıca güzel zaten
2022-03-23,5,Henüz kitabın tamamını okumadım ama Bircan Yildırım sevdiğim bir yazar insan yönü hiç tartışılmaz. Tavsiye ederim herkese
2022-03-19,5,Kesinlikle tavsiye ediyorum.kitabın anlatım ve konu akışı mükemmel tek kelimeyle şodlandim☺️☺️
2022-03-16,5,Annemle sırayla okumak için aldık. Hızlı ve özenli kargo teşekkürler... 🌸
2022-04-09,5,Mutlaka mutlaka okuması gereken bilgi dolu bir kitap...
2022-04-03,5,Canan hocayı her zaman takip eden birisiyim cok degerli👍insan sagliğı hakkinda cok önemli bilgiler veren gercek bir hekim yanlıs bildiğiniz ve dogru sandığınız butun yanlısları unutun! Su gibi akıp giden bir kitap MUTLAKA ALIP OKUMALISINIZ EMİNİM COK FAYDASINI GÖRÜCEKSİNİZ✌
2022-04-19,5,"Canan Karatay, bilgisine güvendiğim ve bildiğini dürüstçe söyleyen hekimlerden birisidir. Kitabını kısa sürede okudum , bizim için birçok faydalı bilgi olduğunu düşünüyorum."
2022-04-18,5,"Canan Hocam ne yazsa okunur, kendisini ve sağlığa bakış açısını seviyorum ❤️❤️"
2022-05-12,5,Her açıdan mükemmel. Artık bir şey yemeden içmeden önce 2 defa düşünüyorum. Hızlı gönderim ve özenli paketleme için teşekkürler
2022-04-12,5,Canan Hocam yazarda okunmaz mı 🥇hap bilgiler içeriyor
2022-04-05,5,Canan hoca sayesinde kronik rahatsızlıklarım ortadan kalktı. Herşey beslenmeyle başladı. Başucu kitabı olmuş
2022-04-25,5,Pek çok anlaşılır uygulaması kolay bilgi var. Kitap çıktıktan sonra bazı doktorlar günlük önerilen tuz miktarını üç cay kaşığı olarak açıkladi. Kısacası Canan Hocanın dediği günlük bir tatlı kaşığına denk geldi. Canan hocam her zaman güncel   Ve doğru bilgileri ilk olarak bize ulaştırıyor
2022-04-08,5,"Canan hoca döktürmüş, yozlaşmış s. sistemini anlatmış, sağlıklı yaşamın anahtarlarını vermiş. Sağol hocam varol."
2022-04-05,5,Her zaman hakli canan karatay hocam anne nasihati gibi kitap emegi geçen herkese teşekkederim
2022-04-01,5,"Yarın kapımdaydı gerçekten. Süt lekesi kitabı boyut olarak diğerlerinden küçük olması hoşuma gitmedi pek, görselde belirtilebilirdi yoksa yayınevi böyle basmıştır diye düşünüyorum. Diğer yerlere göre uygundu."
2022-04-14,5,Bayagidr almak istiyordum hepsi buradanin indirimi sayesinde aldim iyiki varsin #hepsiburada
2022-04-15,5,Çok güzel kitaplar ve paketlemede özenli . Kargom da hemen ulaştı elime teşekkürler
2022-04-27,5,Dün sipariş verdim şuanda rafta yerlerini aldılar okumak için sabırsızlanıyorum
2022-05-09,5,Paketleme güzel di hızlı geldi eksiksiz geldi çok teşekkür ederim
2022-04-11,5,Kusursuz bir şekilde geldi
2022-04-15,5,Eksiksiz geldi teşekkürler
2022-04-19,5,Çok begendim  hızlı ve özenli bir şekilde geldi
2022-04-20,5,Güzel temiz geldi eksiksiz ürünler 💮 teşekkürler
2022-04-08,5,Kitaplar çok güzel paketlenmişti çok teşekkürler 🥰
2021-09-17,5,"Hızlı ve sorunsuz gönderi için tşkler.
Hepsiburada ..."
2021-09-19,5,"Peygamberimizi  anlatacak söz ve kelimeler  yetmez, bu kitapta unutmuş olduklarımız  hatırlatılıyor. Bir  bölümde Allahtan  başka tanrı yoktur  yerine, İlah yazılsaydı  bana göre daha iyi olurdu."
2021-01-14,5,peygamberimizi anlatan harika kitap bir günde okudum
2022-01-21,5,Dini bilgileri öğrenmeye başlama yolunda ilk aşama için uygun bir kitap tabi yetişkinler için
2021-10-19,5,Kitap harika. Hepsiburadanin kampanyasi da harika idi. Tesekkurler.
2021-10-19,5,İki kitabı birlikte aldım tek kitap fiyatına geldi mutlaka okunması gereken bir kitap
2021-10-27,5,Peygamber efendimize yazılmış kısa şiirlerden oluşuyor.. Gayet güzel. Ağzına kalemine sağlık tufan hocanın
2021-10-27,5,Çok kısa bir günde okunacak bir kitap ama içerik güzel biz sevdik bir günde okuduk teşekkür ederim
2020-07-16,5,Gönül rahatlığıyla alabilirsiniz.
2021-07-22,4,Çocukların okuyabilecegi düzeyde bir kitap olarak düşünebilirsiniz. Özellikle siyer okumaya yeni başlayanlar için tavsiye edilebilir.
2020-04-17,5,"Elimde çok sayıda profesyonel mikrofon var. Bu mikrofonu basit zoom görüşmelerinde eğitim programlarında hızlıca kullanacağım. Bozulmasına kaybolmasına üzülmeyeceğim yedek mikrofon olarak aldım. Boya özellikle youtuber camiasının çok tercih ettiği giriş segmenti ürünleriyle ünlüdür. Giriş seviyesi birşey arıyorsanız direkt alın.
Artılarını söyleyelim:
+saat pilinden güç alıyor. Kendi güç kaynağı olması güzel
+ Hem kameralara hem de akıllı telefon bilgisayar vs bağlanır. +Üzerinden ses kaynağı modları ayarlanabiliyor.
+Kabloları herşeye yetecek kadar uzun
+Ses kalitesi de hiç fena değil. Çok profesyonel değil ama herkesin işini görür.
Eksiler:
- Yaka klipsi biraz tel maşa. kolay kırılır gibi. Dikkatli olursanız sorun olmaz
- Alet mono tabi. Olduğu gibi kayıt alırsan sağ kulağınla dinlersin;)

Cihaz özellikle cep telefonu ve kamerayla çekim yapan youtuberlar için tasarlanmış. Onun için jak&#039;ı TRRS yani üzerinde 3 cizgi var. Normal kulaklıklarda yada mikrofonda 2 çizgi olur. Mesela ben bunu seçtim çünkü macbookair de kullanıyorum onun da portu aynı. Normal mikrofon girişine olmaz. Iphone da kullanmak için adaptör lazım. Normal bilgisayar vs TRS girişli ürünlerde adaptör gerektirir.
Anlayacağınız her işe yarayabilecek, fiyat performans ürünü"
2020-05-11,5,"Ürün güzel de kargo firmanız bir acayip. Aras kargo. Gittim kendim aldım. 
Evdeyim adamlar geldik evde kimse yoktu dedi ya! Korona yüzünden evdeyim zaten. Bir de birçok ürün aldım kargolar bekliyorum günlerdir. Kapı çalar diye.
PTT Kargo telefonla arıyor ve KOD ile ürünü teslim ediyor.
Sürat Kargo (Kafalarına göre, moralleri iyiyse hemen kargo geliyor. Ne alakaysa)
Aras Kargo (Lokasyondan mı bilinmez adamlar bir acayip. Ürünü kendim teslim alacağım halde bir ton bahane.)
HEPSİBURADA&#039;ya öneri.
Ürün alırken Kargo firması neden seçemiyoruz. Kargo Firmamızı Biz Seçelim."
2022-03-25,5,Ürün orijinal ve çok kaliteli! Hızlı kargo ve özenli paketleme için teşekkürler. Çok iyi çalışıyor! Satın alma işleminden memnunum ve herkese tavsiye ederim! Bu arada bu mikrofonu redmi 8 telefonum ve bilgisayarımda test ettim. Harika çalışıyor!
2022-02-25,5,Teşekkür ederim. Ürünü spariş verdim yarin akşam getirdiler. Hiç bir kirilmiş yeri yok. Ses kayd etmesi smarphone dan daha iyi. Çok iyi bir ürün sizede tevsiye ederim. İyi aliş verişler😊
2018-07-25,5,Beyler şimdi alıpta kötü diyenler olmuş.Bu mikrofon veya farklı bir mikrofon farketmez.Öncelikle mucize beklemeyin.Önemli olan kayıt cihazınızın kalitesi.Mesela ben Zoom h1 ses kayıt cihazıyla kullanıyorum çok iyi ses alıyor.Yani kısa ve öz kaliteli bir cihazla kullanırsanız istediğiniz performansı alırsınız.Ferrariye tofaş motoru takıp bu niye hızlı gitmiyor demek gibi sizin mantıgınız.
2021-03-10,5,Kargo hızlıydı. Ürünün paketinde köşe kısmında yırtık vardı. Üründe bir sorun yok. Denedim ve başlangıç seviyesi için tavsiye ederim. Rode Lavalier veya Rode Wireless performansı beklemeyin. Ancak sesi normal akıllı telefon sesinden çok çok daha temiz veriyor.
2021-11-14,5,"Bu fiyata daha iyisini alamazsınız. Kablosuz olanların fiyatı bunun 5 katı. Ben ders kaydı yapmak için aldım , kulaklık gibi göze batmadan temiz bir ses kaydı oluşturuyor"
2022-04-09,5,Arkadaşlar ben önce bir karşılaştırma yapıcam.şu sıralar moda olan kablosuz mikrofon aldım.etrafın sesini almaması güzeldi ama arkada sinyal sesi gibi tiiiiiii diye gelen bir ses vardı.çok kötüydü.ses temizleme programlarıyla biraz temizleniyordu ama zaman kaybı yani.ve sonra boya aldım.o ses kesinlikle boya da yok.şu an bu fiyata alınacak en güzel mikrofon.ama etraftaki sesleri evet alıyor bunu yine ses temizleme programlarıyla temizleyebilirsiniz.şimdi şunu diyebilirsiniz ikisinde de bir problem var.evet ama şu var kablosuz çin marka mikrofonda dipteki sinyal sesini temizleyince ana sesiniz buğulu gibi oluyor ama boyadaki arka sesleri yok edince sizin ana sesinize birşey olmuyor.kargo zamanında geldi.alırken iPhonelar için dönüştürücünüz olması gerekiyor.buna da dikkat edin.kimse doğru düzgün bir bilgi vermiyor.uzun uzun yazmak istedim.youtuberların net sesini veren bir mikrofon.arkadan gelen çevre sesleri yok etmek içinde adobe rush kullanabilirsiniz direkt telefondan temizlersiniz veya noise reducer programını telefonunuza indirebilirsiniz.ben iPhone için konuşuyorum.bu programlar android için geçerli mi bilmiyorum bi bakın isterseniz.bilgisayar için audocity diye bir program varmış bunu ben kullanmadım youtubedan bakın.arkadaşlar çok iyi cidden.ilk aldığım kablosuz mikrofondan sonra bu boya cennet gibi geldi.
2020-06-21,4,Hızlı kargolama ürün ses kalitesi fena değil fakat ürün mikrofon çıkışı 3 fazlı olduğu için gopro (hero7 black) mikrofon adaptörü için uyumlu değildir. Cep telefonu vs uygun.. Aksiyon kamerasında kullanmak için ara dönüştürücü aparata ihtiyaç var.. Bilginize.
2022-01-25,5,"Selam. Tam aradığım ürünmüş, ses kartına ihtiyacı yok, telefonda da kaliteli bir ses veriyor, gönderici firma da çok iyi hizmet verdi ve çok hızlı kargoladılar. 1 günde elime ulaştı. Çok teşekkür ederim"
2022-02-17,5,"Güzel eksiksiz geldi. Adobe audition da denedim çalışıyoda. F/p ürünü bence. 1,5 günde elime ulaştı."
2022-03-23,5,Ürün kullanım açısından güzel ayrı ayrı paketleme ile geliyor. Ses olarak ses driveri ile biraz daha yükseltilmiş gayet güzel bir sesi var fiyatına göre uygun.
2022-04-23,5,Gayet özenle paketlenmiş olup eksiksiz olarak elime ulaştı teşekkürler 😌
2022-03-15,5,Ürün çok iyi ve ses kalitesinde çok güzel kolay bi kurulumu var herşey tam geldi
2022-04-28,5,"f/p ürünü oldukça verimli çalışıyor. 4 set satın aldım. set içindeki malzemeler; pop filter güzel ayaklar sadece bu ve bu ağırlıktaki mikrofonları taşır. başka mikrofonlarımı takmak isterdim ağır geldiler. kablo ve ses kartı için bir şey diyemem ilgilenmiyorum. Bu ürünler kondensatörlü mikrofon 48v olmadan çalışmaz. Bu fiyata bu verim beni mutlu etti. Bir proje için ihtiyacım vardı. Mobil bir setup oluşturdum. bozulsa kaybolsa düşse üzmez, tekrar alır devam ederim. Vokal ve genel konuşma için işinde 5 yıldız."
2022-03-15,5,Cok iyi
2022-05-06,5,Şöyle söyleyeyim çok iyi ürün kaliteli ve o kadarda sağlam ama bana nasıl kurulu ağına dahil bir video yada kağıt parçası gönderseydiniz iyi olurdu kurulacağına dediğim telefona nasıl bağlanır diyelim normal bir yayın yapacam telefonla video çekecem nasıl mikrofona bağlayacam onuda anlatsanız iyi olur
2022-04-30,4,ürün eksiksiz geldi mikrofon çalışıyordu ama mikrofonun sesini daha iyi gelmesini istiyorsanız voice meeter banana uygulamasını tavsiye ederim ufak ayarlama yaptıktan sonra güzel ses alıyor
2022-04-26,4,Mikrofon çok kaliteli ve harika bir ses kalitesi var almayı düşünen arkadaşlara kesinlikle öneririm. Kutuda gelen mikrofon ayağının sabitleme yeri malesef bozuk bir yıldızı onun için kırdım.
2022-05-06,5,Şimdilik iyi görünüyor ve iyi çalişiyor kızım için aldık özenli paketleme ve hızlı kargo tesekkürler hepsiburada
2019-10-10,5,Mikrofon bugün elimize ulaştı yorumları okuyunca çok korkmuştum kötü birşey gelecek diye ama tam da hayal ettiğim gibi bi ürün  geldi iç içe 2 kutunun içinde sıkıca paketlenmiş ara şarj kablosu var.Oglum 5 yaşında  down sendromu konuşamıyor  onu konuşmaya teşvik etmek için aldim arada bende şarkı soylerim mini konserler bizi bekliyor😉
2022-04-05,4,"Görünen marka yerine asonic markalı ürün geldiği için 1 yıldız kırdım, fakat ürün güzel olduğu için iade etmedim. Sadece şarjlı pil yuvası farklı ve Araştırmalar sonucu başka efekt ayarları yok. Sadece eko ayarı var"
2022-03-23,5,Fiyat performans ürünü ilk aldığım ürünün sesi biraz sıkıntılıydı sağolsunlar değiştirdiler şimdilik sıkıntı yok teşekkür ederim
2020-01-30,5,"Çocuğum bu üründen çok istediği için araştırmaya başladım. O kadar piyasada farklı markalarda, farklı fiyatlarda satılan ürün var ki, kimisi iki günde bozulduğundan şikayet ediyor, kimisi kartı okumadığını, kimisi sesin düşük olduğunu, kimisi üzerindeki boyanın çocuğun ellerini boyadığını vs vs. Sonrasında en düşük fiyat diye bu üründe şansımı denemeye karar verdim ve gayet memnun kaldım. Hem piyasada satılan benzer ürünlerden uygun fiyatlı, hem de olumsuz yorumlarda karşıma çıkan olumsuzluklarla karşılaşmadan kullanıyoruz. Ha çok yüksek bir ses yok, megafon değil sonuçta, ağzını dayaman gerekiyor ama çocuğun işini görüyor, uzun süreli şarjı gidiyor ve alalı 5 aydan fazla oldu halen çalışıyor."
